City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
78,Dhidhdhoo,6.8833,73.1,82.06,broken clouds,75,81,5.03,MV
79,Pringsewu,-5.3582,104.9744,74.68,overcast clouds,94,100,1.86,ID
80,Kasama,-10.2129,31.1808,81.64,overcast clouds,24,85,2.39,ZM
81,Pisco,-13.7,-76.2167,67.01,clear sky,77,0,10.36,PE
82,Butaritari,3.0707,172.7902,81.77,moderate rain,79,19,16.82,KI
83,Saldanha,-33.0117,17.9442,60.85,overcast clouds,77,100,21.72,ZA
84,Calceta,-0.85,-80.1667,78.71,overcast clouds,62,97,3.38,EC
85,Pevek,69.7008,170.3133,13.26,light snow,93,100,9.33,RU
86,Miquelon,47.0975,-56.3814,55.4,overcast clouds,87,95,11.88,PM
87,Zhuanghe,39.7008,122.9911,45.28,clear sky,51,0,5.37,CN
88,Gat,31.61,34.7642,74.08,few clouds,100,19,12.1,IL
89,Hithadhoo,-0.6,73.0833,81.39,light rain,75,24,7.99,MV
90,Geraldton,-28.7667,114.6,59.41,clear sky,77,0,12.66,AU
91,Troitsko-Pechorsk,62.7084,56.1964,43.07,overcast clouds,96,100,10.22,RU
92,Disna,55.568,28.1971,45.23,overcast clouds,69,93,18.03,BY
93,Aksarka,66.5606,67.7975,28.15,overcast clouds,90,99,8.88,RU
94,Kodiak,57.79,-152.4072,42.31,overcast clouds,61,90,21.85,US
95,Naron,43.5167,-8.1528,65.68,clear sky,66,4,12.17,ES
96,Khatanga,71.9667,102.5,-0.56,broken clouds,99,77,4.54,RU
97,Nome,64.5011,-165.4064,32.07,clear sky,70,1,13.8,US
98,Raudeberg,61.9875,5.1352,45.27,overcast clouds,80,100,7.0,NO
99,Mapimi,25.8167,-103.85,70.57,clear sky,57,4,5.21,MX
100,Paita,-5.0892,-81.1144,73.96,scattered clouds,72,50,12.33,PE
101,Lambarene,-0.7001,10.2406,75.61,moderate rain,93,100,4.61,GA
102,Molo,-0.2479,35.7374,54.18,overcast clouds,87,99,3.38,KE
103,Port Hedland,-20.3167,118.5667,75.25,scattered clouds,53,38,5.75,AU
104,Kaitangata,-46.2817,169.8464,44.83,overcast clouds,95,100,2.44,NZ
105,Brae,60.3964,-1.353,44.51,overcast clouds,60,88,17.18,GB
106,Provideniya,64.3833,-173.3,24.62,overcast clouds,66,100,11.77,RU
107,Puerto Ayora,-0.7393,-90.3518,76.96,overcast clouds,79,91,9.98,EC
108,Atuona,-9.8,-139.0333,78.01,scattered clouds,76,33,21.88,PF
109,Georgetown,5.4112,100.3354,79.9,scattered clouds,90,40,4.61,MY
