City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
278,Trat,TH,82.98,12.5,102.5,สวนหนิง-อัศ
279,Agadez,NE,88.27,19.75,10.25,
281,Barrancabermeja,CO,85.89,7.0653,-73.8547,Hotel Millenium Barrancabermeja
283,Mangalam,IN,83.53,9.7667,78.6667,Sathishkumar yadav
290,Palmerston,AU,84.18,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
292,Cienfuegos,CU,86.14,22.1461,-80.4356,Casa Claumar B2BPay
293,Jaque,PA,81.09,7.5175,-78.1703,Imbu Bua Lodge
294,Souillac,MU,75.58,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Abu Dhabi,AE,87.91,24.4667,54.3667,Ramee Garden Hotel Apartments
299,Campo Gobierno,MX,88.72,24.6536,-107.5411,Casa de la Abuela
304,Bonthe,SL,81.57,7.5264,-12.505,Bonthe Holiday Village
305,Sembe,CG,75.16,1.6481,14.5806,
310,Amahai,ID,77.97,-3.3333,128.9167,HOTEL ISABELA
317,Nilai,MY,82.08,2.8169,101.7956,Hotel Seri Nilai
332,Mogadishu,SO,80.01,2.0371,45.3438,Hotel Juba
333,Sao Miguel Do Araguaia,BR,85.91,-13.275,-50.1628,Hotel Executivo Palace
334,Vaikam,IN,80.62,9.7667,76.4,Kalathil Lake Resort
336,Marzuq,YE,76.95,14.4,46.4667,
337,Wewak,PG,77.61,-3.5534,143.6268,In Wewak Boutique Hotel
350,Araxa,BR,78.76,-19.5933,-46.9406,Plaza Inn Flat Araxá
362,Natchitoches,US,76.19,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
363,Saint-Pierre,RE,76.68,-21.3393,55.4781,Lindsey Hôtel
378,Buala,SB,79.95,-8.145,159.5921,Maringe Lagoon Lodge
379,Touros,BR,88.7,-5.1989,-35.4608,INN NEW HORIZON
383,Isangel,VU,75.76,-19.55,169.2667,Tanna Lodge
385,Santa Maria,BR,78.1,-29.6842,-53.8069,Hotel Morotin
389,Ntoum,GA,82.17,0.3833,9.7833,Hôtel Santa Barbara
392,Acari,PE,76.96,-15.4311,-74.6158,HOSPEDAJE XIMENA
393,Jiwani,PK,79.74,25.05,61.7417,Al Mumtaz Transport Jiwani
398,Razole,IN,79.09,16.4833,81.8333,Sterling Palavelli Godavari
402,Patrocinio,BR,79.12,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
405,Jamame,SO,77.29,0.0722,42.7506,
406,Quelimane,MZ,76.95,-17.8786,36.8883,Hotel Flamingo
407,Salta,AR,85.57,-24.7859,-65.4117,Hotel Alejandro I
408,Eyl,SO,79.11,7.9803,49.8164,Amiin Hotel
413,Kulhudhuffushi,MV,81.91,6.6221,73.07,Haajy Guest House 1
